KE PE TE v h
2.4059 49047.6 49050 -0.981 999.951
9.62361 49040.4 49050 -1.962 999.804
21.6531 49028.3 49050 -2.943 999.559
38.4944 49011.5 49050 -3.924 999.215
60.1476 48989.9 49050 -4.905 998.774
86.6125 48963.4 49050 -5.886 998.234
117.889 48932.1 49050 -6.867 997.597
153.978 48896 49050 -7.848 996.861
194.878 48855.1 49050 -8.829 996.027
240.59 48809.4 49050 -9.81 995.095
291.114 48758.9 49050 -10.791 994.065
346.45 48703.6 49050 -11.772 992.937
406.598 48643.4 49050 -12.753 991.711
471.557 48578.4 49050 -13.734 990.386
541.328 48508.7 49050 -14.715 988.964
615.911 48434.1 49050 -15.696 987.443
695.306 48354.7 49050 -16.677 985.825
779.512 48270.5 49050 -17.658 984.108
868.531 48181.5 49050 -18.639 982.293
962.361 48087.6 49050 -19.62 980.38
1061 47989 49050 -20.601 978.369
1164.46 47885.5 49050 -21.582 976.26
1272.72 47777.3 49050 -22.563 974.053
1385.8 47664.2 49050 -23.544 971.747
1503.69 47546.3 49050 -24.525 969.344
1626.39 47423.6 49050 -25.506 966.842
1753.9 47296.1 49050 -26.487 964.243
1886.23 47163.8 49050 -27.468 961.545
2023.36 47026.6 49050 -28.449 958.749
2165.31 46884.7 49050 -29.43 955.855
2312.07 46737.9 49050 -30.411 952.863
2463.64 46586.4 49050 -31.392 949.773
2620.03 46430 49050 -32.373 946.585
2781.22 46268.8 49050 -33.354 943.298
2947.23 46102.8 49050 -34.335 939.914
3118.05 45932 49050 -35.316 936.431
3293.68 45756.3 49050 -36.297 932.851
3474.12 45575.9 49050 -37.278 929.172
3659.38 45390.6 49050 -38.259 925.395
3849.44 45200.6 49050 -39.24 921.52
4044.32 45005.7 49050 -40.221 917.547
4244.01 44806 49050 -41.202 913.476
4448.51 44601.5 49050 -42.183 909.307
4657.83 44392.2 49050 -43.164 905.039
4871.95 44178 49050 -44.145 900.674
5090.89 43959.1 49050 -45.126 896.21
5314.64 43735.4 49050 -46.107 891.649
5543.2 43506.8 49050 -47.088 886.989
5776.57 43273.4 49050 -48.069 882.231
6014.76 43035.2 49050 -49.05 877.375
6257.75 42792.2 49050 -50.031 872.421
6505.56 42544.4 49050 -51.012 867.369
6758.18 42291.8 49050 -51.993 862.219
7015.61 42034.4 49050 -52.974 856.97
7277.86 41772.1 49050 -53.955 851.624
7544.91 41505.1 49050 -54.936 846.179
7816.78 41233.2 49050 -55.917 840.637
8093.46 40956.5 49050 -56.898 834.996
8374.95 40675.1 49050 -57.879 829.257
8661.25 40388.8 49050 -58.86 823.42
8952.36 40097.6 49050 -59.841 817.485
9248.29 39801.7 49050 -60.822 811.452
9549.03 39501 49050 -61.803 805.321
9854.58 39195.4 49050 -62.784 799.091
10164.9 38885.1 49050 -63.765 792.764
10480.1 38569.9 49050 -64.746 786.338
10800.1 38249.9 49050 -65.727 779.815
11124.9 37925.1 49050 -66.708 773.193
11454.5 37595.5 49050 -67.689 766.473
11788.9 37261.1 49050 -68.67 759.655
12128.2 36921.8 49050 -69.651 752.739
12472.2 36577.8 49050 -70.632 745.725
12821.1 36228.9 49050 -71.613 738.613
13174.7 35875.3 49050 -72.594 731.402
13533.2 35516.8 49050 -73.575 724.094
13896.5 35153.5 49050 -74.556 716.687
14264.6 34785.4 49050 -75.537 709.183
14637.5 34412.5 49050 -76.518 701.58
15015.2 34034.8 49050 -77.499 693.879
15397.8 33652.2 49050 -78.48 686.08
15785.1 33264.9 49050 -79.461 678.183
16177.3 32872.7 49050 -80.442 670.188
16574.3 32475.7 49050 -81.423 662.095
16976 32074 49050 -82.404 653.903
17382.6 31667.4 49050 -83.385 645.614
17794.1 31255.9 49050 -84.366 637.226
18210.3 30839.7 49050 -85.347 628.741
18631.3 30418.7 49050 -86.328 620.157
19057.2 29992.8 49050 -87.309 611.475
19487.8 29562.2 49050 -88.29 602.695
19923.3 29126.7 49050 -89.271 593.817
20363.6 28686.4 49050 -90.252 584.841
20808.7 28241.3 49050 -91.233 575.767
21258.6 27791.4 49050 -92.214 566.594
21713.3 27336.7 49050 -93.195 557.324
22172.8 26877.2 49050 -94.176 547.955
22637.1 26412.9 49050 -95.157 538.489
23106.3 25943.7 49050 -96.138 528.924
23580.3 25469.7 49050 -97.119 519.261
24059 24991 49050 -98.1 509.5
24542.6 24507.4 49050 -99.081 499.641
25031 24019 49050 -100.062 489.684
25524.2 23525.8 49050 -101.043 479.629
26022.2 23027.8 49050 -102.024 469.475
26525.1 22524.9 49050 -103.005 459.224
27032.7 22017.3 49050 -103.986 448.874
27545.2 21504.8 49050 -104.967 438.427
28062.4 20987.6 49050 -105.948 427.881
28584.5 20465.5 49050 -106.929 417.237
29111.4 19938.6 49050 -107.91 406.495
29643.1 19406.9 49050 -108.891 395.655
30179.6 18870.4 49050 -109.872 384.717
30721 18329 49050 -110.853 373.681
31267.1 17782.9 49050 -111.834 362.546
31818.1 17231.9 49050 -112.815 351.314
32373.8 16676.2 49050 -113.796 339.983
32934.4 16115.6 49050 -114.777 328.555
33499.8 15550.2 49050 -115.758 317.028
34070 14980 49050 -116.739 305.403
34645 14405 49050 -117.72 293.68
35224.8 13825.2 49050 -118.701 281.859
35809.5 13240.5 49050 -119.682 269.94
36398.9 12651.1 49050 -120.663 257.923
36993.2 12056.8 49050 -121.644 245.807
37592.2 11457.8 49050 -122.625 233.594
38196.1 10853.9 49050 -123.606 221.282
38804.8 10245.2 49050 -124.587 208.873
39418.3 9631.69 49050 -125.568 196.365
40036.6 9013.38 49050 -126.549 183.759
40659.8 8390.25 49050 -127.53 171.055
41287.7 7762.31 49050 -128.511 158.253
41920.4 7129.55 49050 -129.492 145.353
42558 6491.99 49050 -130.473 132.355
43200.4 5849.61 49050 -131.454 119.258
43847.6 5202.43 49050 -132.435 106.064
44499.6 4550.43 49050 -133.416 92.7712
45156.4 3893.62 49050 -134.397 79.3806
45818 3231.99 49050 -135.378 65.8918
46484.4 2565.56 49050 -136.359 52.305
47155.7 1894.31 49050 -137.34 38.62
47831.7 1218.25 49050 -138.321 24.837
48512.6 537.382 49050 -139.302 10.9558
49198.3 -148.3 49050 -140.283 -3.02345
