x y vx vy
6.372e+006 0 -0.0981645 0 
6.372e+006 0 -0.196329 0 
6.372e+006 0 -0.294494 0 
6.372e+006 0 -0.392658 0 
6.372e+006 0 -0.490823 0 
6.372e+006 0 -0.588987 0 
6.372e+006 0 -0.687152 0 
6.372e+006 0 -0.785316 0 
6.372e+006 0 -0.883481 0 
6.372e+006 0 -0.981645 0 
6.372e+006 0 -1.07981 0 
6.372e+006 0 -1.17797 0 
6.372e+006 0 -1.27614 0 
6.372e+006 0 -1.3743 0 
6.372e+006 0 -1.47247 0 
6.372e+006 0 -1.57063 0 
6.372e+006 0 -1.6688 0 
6.372e+006 0 -1.76696 0 
6.372e+006 0 -1.86513 0 
6.372e+006 0 -1.96329 0 
6.372e+006 0 -2.06145 0 
6.372e+006 0 -2.15962 0 
6.372e+006 0 -2.25778 0 
6.372e+006 0 -2.35595 0 
6.372e+006 0 -2.45411 0 
6.372e+006 0 -2.55228 0 
6.372e+006 0 -2.65044 0 
6.372e+006 0 -2.74861 0 
6.372e+006 0 -2.84677 0 
6.372e+006 0 -2.94494 0 
6.372e+006 0 -3.0431 0 
6.372e+006 0 -3.14126 0 
6.372e+006 0 -3.23943 0 
6.372e+006 0 -3.33759 0 
6.372e+006 0 -3.43576 0 
6.372e+006 0 -3.53392 0 
6.372e+006 0 -3.63209 0 
6.372e+006 0 -3.73025 0 
6.372e+006 0 -3.82842 0 
6.372e+006 0 -3.92658 0 
6.372e+006 0 -4.02474 0 
6.372e+006 0 -4.12291 0 
6.372e+006 0 -4.22107 0 
6.372e+006 0 -4.31924 0 
6.372e+006 0 -4.4174 0 
6.372e+006 0 -4.51557 0 
6.372e+006 0 -4.61373 0 
6.372e+006 0 -4.7119 0 
6.372e+006 0 -4.81006 0 
6.372e+006 0 -4.90823 0 
6.372e+006 0 -5.00639 0 
6.372e+006 0 -5.10455 0 
6.372e+006 0 -5.20272 0 
6.372e+006 0 -5.30088 0 
6.372e+006 0 -5.39905 0 
6.372e+006 0 -5.49721 0 
6.372e+006 0 -5.59538 0 
6.372e+006 0 -5.69354 0 
6.372e+006 0 -5.79171 0 
6.372e+006 0 -5.88987 0 
6.372e+006 0 -5.98804 0 
6.372e+006 0 -6.0862 0 
6.372e+006 0 -6.18436 0 
6.372e+006 0 -6.28253 0 
6.372e+006 0 -6.38069 0 
6.372e+006 0 -6.47886 0 
6.372e+006 0 -6.57702 0 
6.372e+006 0 -6.67519 0 
6.372e+006 0 -6.77335 0 
6.372e+006 0 -6.87152 0 
6.372e+006 0 -6.96968 0 
6.372e+006 0 -7.06785 0 
6.372e+006 0 -7.16601 0 
6.372e+006 0 -7.26418 0 
6.372e+006 0 -7.36234 0 
6.372e+006 0 -7.4605 0 
6.372e+006 0 -7.55867 0 
6.372e+006 0 -7.65683 0 
6.372e+006 0 -7.755 0 
6.372e+006 0 -7.85316 0 
6.372e+006 0 -7.95133 0 
6.372e+006 0 -8.04949 0 
6.372e+006 0 -8.14766 0 
6.372e+006 0 -8.24582 0 
6.372e+006 0 -8.34399 0 
6.372e+006 0 -8.44215 0 
6.372e+006 0 -8.54031 0 
6.372e+006 0 -8.63848 0 
6.372e+006 0 -8.73664 0 
6.372e+006 0 -8.83481 0 
6.372e+006 0 -8.93297 0 
6.372e+006 0 -9.03114 0 
6.372e+006 0 -9.1293 0 
6.372e+006 0 -9.22747 0 
6.372e+006 0 -9.32563 0 
6.372e+006 0 -9.4238 0 
6.372e+006 0 -9.52196 0 
6.372e+006 0 -9.62013 0 
6.372e+006 0 -9.71829 0 
6.372e+006 0 -9.81646 0 
6.37199e+006 0 -9.91462 0 
6.37199e+006 0 -10.0128 0 
6.37199e+006 0 -10.1109 0 
6.37199e+006 0 -10.2091 0 
6.37199e+006 0 -10.3073 0 
6.37199e+006 0 -10.4054 0 
6.37199e+006 0 -10.5036 0 
6.37199e+006 0 -10.6018 0 
6.37199e+006 0 -10.6999 0 
6.37199e+006 0 -10.7981 0 
6.37199e+006 0 -10.8963 0 
6.37199e+006 0 -10.9944 0 
6.37199e+006 0 -11.0926 0 
6.37199e+006 0 -11.1908 0 
6.37199e+006 0 -11.2889 0 
6.37199e+006 0 -11.3871 0 
6.37199e+006 0 -11.4853 0 
6.37199e+006 0 -11.5834 0 
6.37199e+006 0 -11.6816 0 
6.37199e+006 0 -11.7797 0 
6.37199e+006 0 -11.8779 0 
6.37199e+006 0 -11.9761 0 
6.37199e+006 0 -12.0742 0 
6.37199e+006 0 -12.1724 0 
6.37199e+006 0 -12.2706 0 
6.37199e+006 0 -12.3687 0 
6.37199e+006 0 -12.4669 0 
6.37199e+006 0 -12.5651 0 
6.37199e+006 0 -12.6632 0 
6.37199e+006 0 -12.7614 0 
6.37199e+006 0 -12.8596 0 
6.37199e+006 0 -12.9577 0 
6.37199e+006 0 -13.0559 0 
6.37199e+006 0 -13.1541 0 
6.37199e+006 0 -13.2522 0 
6.37199e+006 0 -13.3504 0 
6.37199e+006 0 -13.4485 0 
6.37199e+006 0 -13.5467 0 
6.37199e+006 0 -13.6449 0 
6.37199e+006 0 -13.743 0 
6.37199e+006 0 -13.8412 0 
6.37199e+006 0 -13.9394 0 
6.37199e+006 0 -14.0375 0 
6.37199e+006 0 -14.1357 0 
6.37199e+006 0 -14.2339 0 
6.37199e+006 0 -14.332 0 
6.37199e+006 0 -14.4302 0 
6.37199e+006 0 -14.5284 0 
6.37199e+006 0 -14.6265 0 
6.37199e+006 0 -14.7247 0 
6.37199e+006 0 -14.8229 0 
6.37199e+006 0 -14.921 0 
6.37199e+006 0 -15.0192 0 
6.37199e+006 0 -15.1174 0 
6.37199e+006 0 -15.2155 0 
6.37199e+006 0 -15.3137 0 
6.37199e+006 0 -15.4118 0 
6.37199e+006 0 -15.51 0 
6.37199e+006 0 -15.6082 0 
6.37199e+006 0 -15.7063 0 
6.37199e+006 0 -15.8045 0 
6.37199e+006 0 -15.9027 0 
6.37199e+006 0 -16.0008 0 
6.37199e+006 0 -16.099 0 
6.37199e+006 0 -16.1972 0 
6.37199e+006 0 -16.2953 0 
6.37199e+006 0 -16.3935 0 
6.37199e+006 0 -16.4917 0 
6.37199e+006 0 -16.5898 0 
6.37199e+006 0 -16.688 0 
6.37199e+006 0 -16.7862 0 
6.37199e+006 0 -16.8843 0 
6.37199e+006 0 -16.9825 0 
6.37199e+006 0 -17.0806 0 
6.37198e+006 0 -17.1788 0 
6.37198e+006 0 -17.277 0 
6.37198e+006 0 -17.3751 0 
6.37198e+006 0 -17.4733 0 
6.37198e+006 0 -17.5715 0 
6.37198e+006 0 -17.6696 0 
6.37198e+006 0 -17.7678 0 
6.37198e+006 0 -17.866 0 
6.37198e+006 0 -17.9641 0 
6.37198e+006 0 -18.0623 0 
6.37198e+006 0 -18.1605 0 
6.37198e+006 0 -18.2586 0 
6.37198e+006 0 -18.3568 0 
6.37198e+006 0 -18.455 0 
6.37198e+006 0 -18.5531 0 
6.37198e+006 0 -18.6513 0 
6.37198e+006 0 -18.7495 0 
6.37198e+006 0 -18.8476 0 
6.37198e+006 0 -18.9458 0 
6.37198e+006 0 -19.044 0 
6.37198e+006 0 -19.1421 0 
6.37198e+006 0 -19.2403 0 
6.37198e+006 0 -19.3384 0 
6.37198e+006 0 -19.4366 0 
6.37198e+006 0 -19.5348 0 
6.37198e+006 0 -19.6329 0 
6.37198e+006 0 -19.7311 0 
6.37198e+006 0 -19.8293 0 
6.37198e+006 0 -19.9274 0 
6.37198e+006 0 -20.0256 0 
6.37198e+006 0 -20.1238 0 
6.37198e+006 0 -20.2219 0 
6.37198e+006 0 -20.3201 0 
6.37198e+006 0 -20.4183 0 
6.37198e+006 0 -20.5164 0 
6.37198e+006 0 -20.6146 0 
6.37198e+006 0 -20.7128 0 
6.37198e+006 0 -20.8109 0 
6.37198e+006 0 -20.9091 0 
6.37198e+006 0 -21.0073 0 
